,COL,LYM,COL_LYM,CERK,COL_CERK,LYM_CERK,ALL
0,AT5G66080,AT5G67400,AT4G27300,0.0,,,
1,AT5G59580,AT5G67080,AT2G41010,,,,
2,AT5G58650,AT5G66630,AT5G66320,,,,
3,AT5G54840,AT5G66490,AT5G64660,,,,
4,AT5G52870,AT5G66200,AT1G19770,,,,
5,AT5G51620,AT5G66040,AT5G43620,,,,
6,AT5G47720,AT5G65500,AT1G67890,,,,
7,AT5G46350,AT5G65207,AT3G09405,,,,
8,AT5G45240,AT5G64810,AT2G32020,,,,
9,AT5G44390,AT5G64440,AT4G16957,,,,
10,AT5G43890,AT5G64130,AT3G05360,,,,
11,AT5G43470,AT5G63490,AT3G46090,,,,
12,AT5G21960,AT5G63320,AT5G46780,,,,
13,AT5G13100,AT5G62865,AT1G63500,,,,
14,AT5G08770,AT5G62720,AT4G27500,,,,
15,AT5G08135,AT5G61530,AT3G16030,,,,
16,AT5G04390,AT5G60280,AT3G44400,,,,
17,AT5G01990,AT5G59540,AT3G21080,,,,
18,AT5G01630,AT5G59030,AT4G02210,,,,
19,AT4G39838,AT5G58787,AT3G54420,,,,
20,AT4G35730,AT5G58160,AT3G08710,,,,
21,AT4G35500,AT5G57550,AT3G63500,,,,
22,AT4G33980,AT5G57480,AT1G70740,,,,
23,AT4G30790,AT5G56750,AT3G29000,,,,
24,AT4G30097,AT5G54850,AT1G17147,,,,
25,AT4G28930,AT5G54780,AT1G35710,,,,
26,AT4G27657,AT5G54510,AT2G22870,,,,
27,AT4G26750,AT5G53830,AT4G12735,,,,
28,AT4G26610,AT5G53300,AT4G37290,,,,
29,AT4G23230,AT5G52720,AT1G24150,,,,
30,AT4G22980,AT5G52580,AT4G02380,,,,
31,AT4G22530,AT5G52320,AT3G03050,,,,
32,AT4G19960,AT5G50900,AT1G21910,,,,
33,AT4G19230,AT5G50380,AT1G22190,,,,
34,AT4G18215,AT5G49770,AT1G51700,,,,
35,AT4G14860,AT5G49450,AT4G39830,,,,
36,AT4G12070,AT5G49280,AT2G40110,,,,
37,AT4G02420,AT5G48390,AT2G41640,,,,
38,AT4G01720,AT5G47740,AT4G23015,,,,
39,AT3G63260,AT5G46250,AT3G56410,,,,
40,AT3G63255,AT5G45430,AT1G66400,,,,
41,AT3G61800,AT5G45260,AT1G23830,,,,
42,AT3G60550,AT5G45050,AT3G25600,,,,
43,AT3G57540,AT5G44990,AT2G41420,,,,
44,AT3G57480,AT5G44860,AT3G49810,,,,
45,AT3G57120,AT5G44480,AT3G07925,,,,
46,AT3G57070,AT5G44380,AT5G24110,,,,
47,AT3G54950,AT5G44063,AT4G35940,,,,
48,AT3G53400,AT5G43740,AT2G23270,,,,
49,AT3G52470,AT5G42940,AT1G66910,,,,
50,AT3G48850,AT5G42930,AT2G20142,,,,
51,AT3G45840,AT5G41790,AT5G53050,,,,
52,AT3G27540,AT5G40690,AT5G12930,,,,
53,AT3G26190,AT5G40450,AT3G26230,,,,
54,AT3G25882,AT5G40370,AT1G67530,,,,
55,AT3G25240,AT5G39590,AT2G46400,,,,
56,AT3G24050,AT5G38940,AT1G07630,,,,
57,AT3G21140,AT5G37450,AT5G08780,,,,
58,AT3G19660,AT5G36970,AT5G08790,,,,
59,AT3G17660,AT5G36930,AT2G39400,,,,
60,AT3G17510,AT5G35190,AT2G31345,,,,
61,AT3G17420,AT5G28830,AT1G56510,,,,
62,AT3G17330,AT5G28050,AT5G66480,,,,
63,AT3G17120,AT5G27840,AT5G18310,,,,
64,AT3G15810,AT5G27380,AT2G02450,,,,
