,COL,LYM,COL_LYM,CERK,COL_CERK,LYM_CERK,ALL
0,AT5G67510,AT5G66230,AT3G16450,0.0,,,
1,AT5G67210,AT5G66055,AT2G35960,,,,
2,AT5G66690,AT5G63310,AT5G35360,,,,
3,AT5G65220,AT5G57170,AT2G34640,,,,
4,AT5G63570,AT5G57110,AT1G70850,,,,
5,AT5G63140,AT5G52710,AT2G05920,,,,
6,AT5G62840,AT5G51820,AT2G28000,,,,
7,AT5G62790,AT5G50800,AT3G51238,,,,
8,AT5G62700,AT5G45140,AT3G62530,,,,
9,AT5G62670,AT5G24105,AT1G64400,,,,
10,AT5G62550,AT5G19600,AT4G01050,,,,
11,AT5G62340,AT5G18820,AT5G08610,,,,
12,AT5G56670,AT5G17220,AT2G32179,,,,
13,AT5G56580,AT5G16980,AT1G74730,,,,
14,AT5G56120,AT5G16715,AT4G36360,,,,
15,AT5G55830,AT5G13630,AT3G63190,,,,
16,AT5G55580,AT5G09978,AT1G65490,,,,
17,AT5G55180,AT5G09430,AT5G08640,,,,
18,AT5G54370,AT5G09220,AT5G11450,,,,
19,AT5G53900,AT5G07900,AT3G17830,,,,
20,AT5G52050,AT5G07190,AT1G06640,,,,
21,AT5G51110,AT5G05580,AT5G47190,,,,
22,AT5G51100,AT5G03650,AT4G34950,,,,
23,AT5G50250,AT5G02500,AT5G26742,,,,
24,AT5G50210,AT5G02095,AT3G63200,,,,
25,AT5G49480,AT5G01545,AT3G18680,,,,
26,AT5G49330,AT5G01220,AT5G23310,,,,
27,AT5G48960,AT4G39330,AT5G58310,,,,
28,AT5G48470,AT4G38370,AT4G33270,,,,
29,AT5G48300,AT4G33760,AT4G30950,,,,
30,AT5G48220,AT4G25220,AT1G29930,,,,
31,AT5G47630,AT4G24265,AT1G06950,,,,
32,AT5G47450,AT4G20320,AT4G33030,,,,
33,AT5G46900,AT4G15290,AT3G63490,,,,
34,AT5G46890,AT4G14960,AT3G52150,,,,
35,AT5G45930,AT4G13150,AT3G63510,,,,
36,AT5G45700,AT4G05785,AT3G16400,,,,
37,AT5G42800,AT4G02990,AT5G48010,,,,
38,AT5G40850,AT3G62740,AT1G06190,,,,
39,AT5G39980,AT3G61680,AT1G02730,,,,
40,AT5G38430,AT3G60750,AT4G39460,,,,
41,AT5G37540,AT3G55120,AT5G03940,,,,
42,AT5G30510,AT3G50820,AT1G30110,,,,
43,AT5G27890,AT3G48110,AT1G32990,,,,
44,AT5G26290,AT3G29320,AT3G21300,,,,
45,AT5G26260,AT3G28740,AT4G17300,,,,
46,AT5G25610,AT3G25860,AT3G54260,,,,
47,AT5G24690,AT3G18890,AT1G29070,,,,
48,AT5G24660,AT3G14940,AT3G48720,,,,
