,COL,LYM,COL_LYM,CERK,COL_CERK,LYM_CERK,ALL
0,ATCG00760,AT5G67270,AT4G24810,AT5G24530,,,
1,AT5G67570,AT5G67240,AT3G50650,,,,
2,AT5G67470,AT5G67190,AT1G03300,,,,
3,AT5G67385,AT5G67160,AT2G18300,,,,
4,AT5G67370,AT5G67150,AT5G66770,,,,
5,AT5G66985,AT5G66540,AT2G34520,,,,
6,AT5G66558,AT5G66530,AT1G72370,,,,
7,AT5G66470,AT5G66450,AT4G18100,,,,
8,AT5G66330,AT5G65890,AT4G30680,,,,
9,AT5G66000,AT5G65700,AT3G49240,,,,
10,AT5G65720,AT5G65683,AT4G18380,,,,
11,AT5G65670,AT5G65613,AT1G47500,,,,
12,AT5G65590,AT5G65570,AT2G42485,,,,
13,AT5G65470,AT5G65450,AT1G53800,,,,
14,AT5G65210,AT5G65410,AT5G67480,,,,
15,AT5G64950,AT5G65390,AT1G02840,,,,
16,AT5G64850,AT5G65170,AT1G60270,,,,
17,AT5G64480,AT5G64670,AT5G07900,,,,
18,AT5G64360,AT5G64650,AT3G63200,,,,
19,AT5G63980,AT5G64470,AT4G26850,,,,
20,AT5G63120,AT5G64390,AT1G04977,,,,
21,AT5G62640,AT5G64160,AT5G64340,,,,
22,AT5G61930,AT5G64150,AT3G22120,,,,
23,AT5G60920,AT5G64140,AT1G12020,,,,
24,AT5G60890,AT5G64050,AT1G07090,,,,
25,AT5G60870,AT5G63595,AT3G47680,,,,
26,AT5G59950,AT5G63530,AT5G14350,,,,
27,AT5G58530,AT5G63140,AT2G23790,,,,
28,AT5G58250,AT5G62940,AT2G45210,,,,
29,AT5G57440,AT5G62700,AT2G13965,,,,
30,AT5G55740,AT5G62690,AT1G70200,,,,
31,AT5G53450,AT5G62650,AT5G44190,,,,
32,AT5G52545,AT5G62370,AT5G35732,,,,
33,AT5G51910,AT5G62300,AT5G02860,,,,
34,AT5G48870,AT5G62270,AT2G35260,,,,
