,COL,LYM,COL_LYM,CERK,COL_CERK,LYM_CERK,ALL
0,AT5G67510,AT5G67620,AT5G63570,0.0,,,
1,AT5G67270,AT5G66675,AT5G64310,,,,
2,AT5G67210,AT5G66230,AT2G32179,,,,
3,AT5G66690,AT5G66070,AT4G36360,,,,
4,AT5G66580,AT5G64460,AT1G06640,,,,
5,AT5G65970,AT5G58260,AT3G63200,,,,
6,AT5G65220,AT5G57590,AT5G23310,,,,
7,AT5G64816,AT5G57150,AT1G11670,,,,
8,AT5G64670,AT5G53210,AT4G33270,,,,
9,AT5G64650,AT5G52920,AT1G29930,,,,
10,AT5G64140,AT5G52710,AT4G10340,,,,
11,AT5G64080,AT5G52010,AT3G29320,,,,
12,AT5G64050,AT5G50800,AT4G20320,,,,
13,AT5G62840,AT5G50150,AT4G29905,,,,
14,AT5G62790,AT5G48360,AT1G05047,,,,
15,AT5G62700,AT5G47110,AT5G63310,,,,
16,AT5G62550,AT5G45490,AT4G17300,,,,
17,AT5G62210,AT5G45140,AT4G12543,,,,
18,AT5G62190,AT5G43740,AT2G39670,,,,
19,AT5G61480,AT5G43630,AT5G14910,,,,
20,AT5G61420,AT5G42180,AT3G48110,,,,
21,AT5G61410,AT5G39790,AT1G64510,,,,
22,AT5G61170,AT5G38220,AT4G04350,,,,
23,AT5G61030,AT5G24910,AT1G45015,,,,
24,AT5G60800,AT5G24105,AT3G51820,,,,
25,AT5G60730,AT5G23730,AT5G16980,,,,
26,AT5G60210,AT5G22390,AT1G04250,,,,
27,AT5G59850,AT5G19600,AT5G17870,,,,
28,AT5G59360,AT5G18820,AT2G15620,,,,
29,AT5G58420,AT5G14330,AT3G21755,,,,
30,AT5G58300,AT5G11420,AT3G55800,,,,
31,AT5G57930,AT5G10605,AT3G16290,,,,
32,AT5G57290,AT5G09978,AT1G42970,,,,
33,AT5G57120,AT5G09430,AT1G06002,,,,
34,AT5G56860,AT5G09220,AT5G54770,,,,
35,AT5G56710,AT5G07900,AT3G62740,,,,
36,AT5G56670,AT5G07190,AT3G18390,,,,
37,AT5G56580,AT5G04885,AT2G26480,,,,
38,AT5G56120,AT5G04730,AT1G29980,,,,
39,AT5G55830,AT5G03650,AT3G52110,,,,
40,AT5G55580,AT5G02090,AT1G73600,,,,
41,AT5G55520,AT5G01700,AT1G10522,,,,
42,AT5G55125,AT5G01545,AT1G78630,,,,
43,AT5G54270,AT4G38970,AT5G47500,,,,
44,AT5G54060,AT4G38660,AT4G39800,,,,
45,AT5G53900,AT4G38370,AT1G80480,,,,
46,AT5G53250,AT4G37760,AT2G16660,,,,
47,AT5G52650,AT4G37750,AT5G62980,,,,
48,AT5G52310,AT4G37590,AT3G03920,,,,
49,AT5G52060,AT4G37550,AT2G44040,,,,
50,AT5G51600,AT4G36390,AT5G01590,,,,
51,AT5G51545,AT4G34740,AT3G09200,,,,
52,AT5G51110,AT4G34220,AT3G28740,,,,
53,AT5G50740,AT4G33760,AT4G02850,,,,
54,AT5G50250,AT4G33630,AT2G43030,,,,
55,AT5G49480,AT4G33110,AT1G11870,,,,
56,AT5G48960,AT4G29800,AT5G18660,,,,
57,AT5G48460,AT4G28950,AT4G18480,,,,
58,AT5G48300,AT4G26530,AT1G18250,,,,
59,AT5G48220,AT4G25640,AT4G26220,,,,
60,AT5G47990,AT4G25220,AT3G50820,,,,
61,AT5G47900,AT4G24265,AT1G59990,,,,
62,AT5G47630,AT4G18240,AT3G58140,,,,
63,AT5G47210,AT4G15500,AT5G58250,,,,
64,AT5G46900,AT4G15290,AT1G04270,,,,
65,AT5G46430,AT4G14770,AT5G51100,,,,
66,AT5G46115,AT4G14690,AT4G38770,,,,
67,AT5G45930,AT4G14440,AT3G55400,,,,
68,AT5G45680,AT4G14330,AT1G04420,,,,
69,AT5G44785,AT4G13150,AT2G43550,,,,
70,AT5G44040,AT4G13100,AT1G30600,,,,
71,AT5G43750,AT4G12980,AT2G43100,,,,
72,AT5G42070,AT4G12310,AT2G40010,,,,
73,AT5G41460,AT4G09730,AT1G49975,,,,
74,AT5G40950,AT4G09010,AT2G47990,,,,
75,AT5G40810,AT4G08910,AT5G16250,,,,
76,AT5G40730,AT4G08555,AT5G49030,,,,
77,AT5G39740,AT4G05785,AT1G20020,,,,
78,AT5G38980,AT4G05690,AT4G30720,,,,
79,AT5G38410,AT4G04260,AT1G70830,,,,
80,AT5G38100,AT4G02990,AT3G23940,,,,
81,AT5G38030,AT4G02420,AT2G23350,,,,
82,AT5G37540,AT4G01970,AT1G60950,,,,
83,AT5G35530,AT4G01250,AT2G47890,,,,
84,AT5G33355,AT4G01080,AT5G62340,,,,
85,AT5G27890,AT3G61680,AT2G48130,,,,
86,AT5G27850,AT3G61400,AT1G73330,,,,
87,AT5G27770,AT3G56680,AT3G06145,,,,
88,AT5G27120,AT3G53750,AT5G47700,,,,
89,AT5G26860,AT3G52750,AT2G10940,,,,
90,AT5G26290,AT3G52170,AT5G26260,,,,
91,AT5G25610,AT3G52155,AT3G27180,,,,
92,AT5G25590,AT3G51950,AT3G20370,,,,
93,AT5G24690,AT3G51720,AT2G24060,,,,
94,AT5G24660,AT3G51060,AT2G33180,,,,
95,AT5G24410,AT3G48940,AT3G16460,,,,
96,AT5G24314,AT3G46740,AT2G33210,,,,
97,AT5G24020,AT3G45960,AT5G66530,,,,
98,AT5G23980,AT3G44990,AT3G51140,,,,
99,AT5G23940,AT3G44610,AT2G20530,,,,
100,AT5G23820,AT3G44220,AT3G47650,,,,
101,AT5G23740,AT3G43670,AT4G13170,,,,
102,AT5G23400,AT3G25920,AT1G62390,,,,
103,AT5G23190,AT3G23580,AT5G08260,,,,
104,AT5G23010,AT3G23070,AT3G05730,,,,
105,AT5G22440,AT3G21540,AT4G18730,,,,
106,AT5G21920,AT3G21110,AT1G09340,,,,
107,AT5G21910,AT3G18890,AT5G17710,,,,
108,AT5G20160,AT3G15680,AT2G34640,,,,
109,AT5G20130,AT3G15550,AT1G70850,,,,
110,AT5G19970,AT3G15000,AT4G17610,,,,
111,AT5G19800,AT3G14330,AT3G01375,,,,
112,AT5G19750,AT3G13160,AT1G67700,,,,
113,AT5G19510,AT3G12940,AT5G64580,,,,
114,AT5G19290,AT3G10670,AT1G74730,,,,
115,AT5G19090,AT3G09905,AT4G20240,,,,
116,AT5G18930,AT3G09440,AT3G17830,,,,
117,AT5G18860,AT3G06880,AT4G34950,,,,
118,AT5G17670,AT3G02850,AT3G18680,,,,
119,AT5G17530,AT3G02640,AT3G15520,,,,
120,AT5G17520,AT3G01516,AT5G58310,,,,
121,AT5G17160,AT3G01410,AT3G59930,,,,
122,AT5G17050,AT3G01015,AT3G63490,,,,
123,AT5G17040,AT2G48080,AT3G16400,,,,
124,AT5G17030,AT2G47840,AT4G39460,,,,
125,AT5G16710,AT2G46940,AT5G03940,,,,
126,AT5G16620,AT2G46780,AT3G20230,,,,
127,AT5G16190,AT2G46660,AT1G32990,,,,
128,AT5G16130,AT2G45430,AT3G21300,,,,
129,AT5G15740,AT2G44110,AT4G23500,,,,
130,AT5G14740,AT2G39430,AT5G24300,,,,
131,AT5G14580,AT2G39110,AT4G38775,,,,
132,AT5G14320,AT2G38390,AT2G15128,,,,
