,COL,LYM,COL_LYM,CERK,COL_CERK,LYM_CERK,ALL
0,AT5G67360,AT5G67450,AT5G13740,0.0,,,
1,AT5G67320,AT5G67310,AT5G66120,,,,
2,AT5G66760,AT5G66730,AT5G64572,,,,
3,AT5G65910,AT5G65870,AT5G11210,,,,
4,AT5G64920,AT5G62930,AT1G04980,,,,
5,AT5G64890,AT5G61670,AT1G78410,,,,
6,AT5G64660,AT5G60520,AT5G13170,,,,
7,AT5G64370,AT5G59890,AT5G53120,,,,
8,AT5G64260,AT5G59470,AT4G22710,,,,
9,AT5G64250,AT5G58390,AT4G03985,,,,
10,AT5G63680,AT5G54870,AT4G12480,,,,
11,AT5G63620,AT5G54860,AT3G09405,,,,
12,AT5G62900,AT5G53730,AT4G11560,,,,
13,AT5G62150,AT5G49810,AT1G80420,,,,
14,AT5G61790,AT5G49550,AT3G54960,,,,
15,AT5G61580,AT5G48400,AT5G52910,,,,
16,AT5G61530,AT5G45810,AT5G56960,,,,
17,AT5G61450,AT5G45400,AT5G20960,,,,
18,AT5G61140,AT5G44575,AT3G23570,,,,
19,AT5G60640,AT5G40990,AT4G25810,,,,
20,AT5G60360,AT5G40370,AT5G41990,,,,
21,AT5G60270,AT5G39190,AT3G19930,,,,
22,AT5G59680,AT5G36925,AT1G65500,,,,
23,AT5G59420,AT5G29000,AT3G52340,,,,
24,AT5G58940,AT5G25940,AT1G53625,,,,
25,AT5G58870,AT5G25450,AT3G14990,,,,
26,AT5G58650,AT5G24770,AT1G21750,,,,
27,AT5G58640,AT5G24320,AT5G14780,,,,
28,AT5G58620,AT5G23510,AT1G50020,,,,
29,AT5G58060,AT5G22520,AT2G41700,,,,
30,AT5G57655,AT5G20110,AT3G21080,,,,
31,AT5G57510,AT5G15020,AT4G39940,,,,
32,AT5G57480,AT5G13190,AT5G40590,,,,
33,AT5G57350,AT5G11975,AT1G04850,,,,
34,AT5G57330,AT5G09850,AT2G24200,,,,
35,AT5G56870,AT5G05340,AT3G60270,,,,
36,AT5G56350,AT5G05250,AT1G35710,,,,
37,AT5G56190,AT5G03380,AT3G08690,,,,
38,AT5G55850,AT5G01550,AT3G62600,,,,
39,AT5G55610,AT4G37060,AT3G18250,,,,
40,AT5G54840,AT4G36700,AT2G30870,,,,
41,AT5G54610,AT4G34270,AT2G33120,,,,
42,AT5G54250,AT4G33560,AT5G63790,,,,
43,AT5G54160,AT4G33550,AT4G37290,,,,
44,AT5G53870,AT4G33080,AT4G10500,,,,
45,AT5G53370,AT4G33070,AT2G25297,,,,
46,AT5G53350,AT4G29735,AT4G12490,,,,
47,AT5G53030,AT4G29140,AT5G46050,,,,
48,AT5G52750,AT4G28730,AT4G34050,,,,
49,AT5G52640,AT4G27970,AT5G22300,,,,
50,AT5G52240,AT4G25390,AT2G20610,,,,
51,AT5G51640,AT4G25360,AT4G14410,,,,
52,AT5G51290,AT4G24940,AT4G01070,,,,
53,AT5G50790,AT4G24920,AT5G47120,,,,
54,AT5G49700,AT4G23885,AT1G30700,,,,
55,AT5G49570,AT4G23150,AT5G13800,,,,
56,AT5G49450,AT4G23015,AT1G11330,,,,
57,AT5G49360,AT4G22030,AT3G21240,,,,
58,AT5G48380,AT4G21840,AT5G16450,,,,
59,AT5G48180,AT4G18253,AT4G04990,,,,
60,AT5G48160,AT4G18170,AT1G27970,,,,
61,AT5G47560,AT4G16240,AT1G74640,,,,
62,AT5G47480,AT4G15120,AT2G29120,,,,
63,AT5G47370,AT4G14800,AT2G29150,,,,
64,AT5G46780,AT4G14370,AT5G39180,,,,
65,AT5G46630,AT4G08790,AT5G26920,,,,
66,AT5G46330,AT4G04220,AT2G43620,,,,
67,AT5G45510,AT4G02970,AT1G66700,,,,
68,AT5G45380,AT4G00240,AT3G28580,,,,
69,AT5G45350,AT3G66658,AT3G05970,,,,
70,AT5G45110,AT3G62820,AT4G23010,,,,
71,AT5G45070,AT3G60730,AT2G04400,,,,
72,AT5G44568,AT3G60540,AT1G22410,,,,
73,AT5G44480,AT3G58640,AT4G29010,,,,
74,AT5G44290,AT3G58460,AT5G44380,,,,
75,AT5G44260,AT3G56060,AT5G64440,,,,
76,AT5G44130,AT3G55880,AT2G04160,,,,
77,AT5G43910,AT3G55240,AT3G06860,,,,
78,AT5G43850,AT3G53160,AT5G39580,,,,
79,AT5G43580,AT3G52240,AT1G77510,,,,
80,AT5G43570,AT3G50900,AT1G26240,,,,
81,AT5G43470,AT3G49130,AT5G08790,,,,
82,AT5G43330,AT3G47780,AT4G15233,,,,
83,AT5G43320,AT3G47640,AT3G22160,,,,
84,AT5G43310,AT3G47480,AT1G21000,,,,
85,AT5G42460,AT3G46510,AT5G18310,,,,
86,AT5G42020,AT3G45600,AT3G51430,,,,
87,AT5G41750,AT3G45260,AT3G24929,,,,
88,AT5G41612,AT3G28480,AT2G17720,,,,
89,AT5G41080,AT3G27770,AT4G23190,,,,
90,AT5G40760,AT3G27220,AT3G24100,,,,
91,AT5G40450,AT3G25900,AT1G21250,,,,
92,AT5G40240,AT3G25250,AT1G51890,,,,
93,AT5G40010,AT3G25190,AT2G40940,,,,
94,AT5G39670,AT3G22845,AT4G11170,,,,
95,AT5G39610,AT3G19380,AT1G21110,,,,
96,AT5G39590,AT3G18290,AT5G39150,,,,
