,COL,LYM,COL_LYM,CERK,COL_CERK,LYM_CERK,ALL
0,AT5G66120,AT5G65750,AT4G22240,0.0,,,
1,AT5G65110,AT5G58390,AT2G38870,,,,
2,AT5G64890,AT5G54860,AT1G09560,,,,
3,AT5G64660,AT5G49890,AT4G34230,,,,
4,AT5G64440,AT5G45400,AT1G74590,,,,
5,AT5G64260,AT5G44820,AT5G13740,,,,
6,AT5G64250,AT5G44575,AT5G11210,,,,
7,AT5G63680,AT5G39190,AT5G64572,,,,
8,AT5G62900,AT5G23510,AT2G02230,,,,
9,AT5G61140,AT5G16170,AT4G18250,,,,
10,AT5G59420,AT5G09850,AT1G04980,,,,
11,AT5G58940,AT5G05250,AT4G35830,,,,
12,AT5G58620,AT5G01550,AT1G13480,,,,
13,AT5G58060,AT4G37980,AT1G18570,,,,
14,AT5G57655,AT4G26270,AT3G48000,,,,
15,AT5G55610,AT4G25390,AT5G05730,,,,
16,AT5G55530,AT4G23885,AT4G16660,,,,
17,AT5G53870,AT4G23015,AT5G13170,,,,
18,AT5G53370,AT4G18253,AT5G53120,,,,
19,AT5G52910,AT4G18170,AT4G22710,,,,
20,AT5G52750,AT4G16240,AT4G03985,,,,
21,AT5G51640,AT4G11521,AT1G52200,,,,
22,AT5G51070,AT4G10500,AT5G19550,,,,
23,AT5G49700,AT4G01070,AT2G02390,,,,
24,AT5G48657,AT3G50900,AT5G27600,,,,
25,AT5G47560,AT3G47640,AT4G27730,,,,
26,AT5G47480,AT3G45260,AT4G24110,,,,
27,AT5G47120,AT3G44720,AT4G12480,,,,
28,AT5G46780,AT3G44310,AT1G02360,,,,
29,AT5G46630,AT3G27220,AT3G09405,,,,
30,AT5G44990,AT3G25250,AT5G06860,,,,
31,AT5G44572,AT3G25190,AT5G39110,,,,
32,AT5G44568,AT3G24100,AT5G02780,,,,
33,AT5G44130,AT3G22845,AT3G22890,,,,
34,AT5G43580,AT3G20510,AT2G25470,,,,
35,AT5G43470,AT3G18820,AT4G37530,,,,
36,AT5G43330,AT3G18290,AT1G51800,,,,
37,AT5G43320,AT3G18270,AT3G15356,,,,
38,AT5G42320,AT3G09520,AT4G31500,,,,
39,AT5G42020,AT3G06435,AT1G61560,,,,
40,AT5G42010,AT3G04420,AT4G05390,,,,
41,AT5G41612,AT3G03270,AT4G34200,,,,
42,AT5G40760,AT2G46980,AT5G56960,,,,
43,AT5G40450,AT2G46390,AT1G27980,,,,
44,AT5G40240,AT2G43610,AT1G62300,,,,
45,AT5G40170,AT2G43060,AT4G01700,,,,
46,AT5G39730,AT2G38710,AT3G28940,,,,
47,AT5G39670,AT2G38470,AT3G23570,,,,
48,AT5G39610,AT2G36910,AT3G08760,,,,
49,AT5G39510,AT2G33120,AT3G23150,,,,
50,AT5G39100,AT2G32910,AT1G02930,,,,
51,AT5G39020,AT2G27730,AT3G19615,,,,
52,AT5G38940,AT2G27390,AT4G25810,,,,
53,AT5G38780,AT2G23320,AT5G41990,,,,
54,AT5G37490,AT2G17850,AT3G19930,,,,
55,AT5G35700,AT2G17790,AT5G04175,,,,
56,AT5G34930,AT2G16060,AT3G54640,,,,
57,AT5G33290,AT1G80820,AT5G62680,,,,
58,AT5G28540,AT1G78280,AT3G01420,,,,
59,AT5G28050,AT1G76520,AT1G69920,,,,
60,AT5G27520,AT1G71400,AT5G64905,,,,
