,COL,LYM,COL_LYM,CERK,COL_CERK,LYM_CERK,ALL
0,AT5G67430,AT5G67440,AT4G27300,0.0,,,
1,AT5G67140,AT5G67400,AT2G41010,,,,
2,AT5G66910,AT5G66800,AT5G66320,,,,
3,AT5G66060,AT5G66631,AT5G64660,,,,
4,AT5G65870,AT5G66490,AT1G19770,,,,
5,AT5G64060,AT5G66200,AT1G11303,,,,
6,AT5G63770,AT5G66040,AT5G43620,,,,
7,AT5G61440,AT5G65690,AT1G67890,,,,
8,AT5G59990,AT5G65500,AT3G09405,,,,
9,AT5G59580,AT5G65160,AT2G32020,,,,
10,AT5G57230,AT5G64500,AT4G16957,,,,
11,AT5G54840,AT5G64450,AT3G05360,,,,
12,AT5G54650,AT5G64440,AT3G46090,,,,
13,AT5G53590,AT5G64130,AT5G46780,,,,
14,AT5G52810,AT5G63490,AT2G45920,,,,
15,AT5G52800,AT5G63160,AT1G63500,,,,
16,AT5G51400,AT5G62865,AT4G27500,,,,
17,AT5G45320,AT5G62720,AT3G16030,,,,
18,AT5G44565,AT5G61820,AT3G44400,,,,
19,AT5G44180,AT5G61530,AT3G21080,,,,
20,AT5G43470,AT5G61260,AT4G02210,,,,
21,AT5G38350,AT5G60800,AT3G54420,,,,
22,AT5G38310,AT5G60360,AT3G08710,,,,
23,AT5G27520,AT5G60280,AT3G25240,,,,
24,AT5G25180,AT5G59540,AT3G63500,,,,
25,AT5G25060,AT5G59030,AT1G53060,,,,
26,AT5G24400,AT5G58700,AT1G70740,,,,
27,AT5G21960,AT5G58630,AT3G29000,,,,
28,AT5G20840,AT5G58375,AT1G17147,,,,
29,AT5G18475,AT5G58320,AT1G35710,,,,
30,AT5G16200,AT5G58010,AT2G22870,,,,
31,AT5G09330,AT5G57910,AT4G12735,,,,
32,AT5G08135,AT5G57655,AT4G37290,,,,
33,AT5G06835,AT5G57630,AT1G24150,,,,
34,AT5G03330,AT5G57625,AT3G07565,,,,
35,AT5G01990,AT5G57550,AT4G02380,,,,
36,AT5G01630,AT5G57345,AT3G03050,,,,
37,AT5G00965,AT5G57060,AT1G21910,,,,
38,AT4G39900,AT5G56750,AT1G22190,,,,
39,AT4G37608,AT5G55120,AT1G51700,,,,
40,AT4G35730,AT5G54930,AT4G39830,,,,
41,AT4G30790,AT5G54850,AT2G40110,,,,
42,AT4G30097,AT5G54780,AT2G41640,,,,
43,AT4G27657,AT5G54510,AT4G23015,,,,
44,AT4G27654,AT5G54300,AT3G56410,,,,
45,AT4G26610,AT5G54110,AT1G66400,,,,
46,AT4G26270,AT5G53830,AT1G23830,,,,
47,AT4G26070,AT5G53300,AT3G25600,,,,
48,AT4G25360,AT5G52720,AT2G41420,,,,
49,AT4G23230,AT5G52580,AT3G49810,,,,
50,AT4G22530,AT5G52410,AT1G65190,,,,
51,AT4G18422,AT5G52320,AT3G07925,,,,
52,AT4G17660,AT5G52200,AT5G24110,,,,
53,AT4G15236,AT5G51970,AT4G35940,,,,
54,AT4G14860,AT5G50380,AT5G46350,,,,
55,AT4G13820,AT5G49770,AT2G23270,,,,
56,AT4G12290,AT5G49450,AT1G66910,,,,
57,AT4G12010,AT5G49360,AT2G20142,,,,
58,AT4G11050,AT5G49280,AT5G53050,,,,
59,AT4G05910,AT5G48390,AT1G20515,,,,
60,AT4G04920,AT5G48160,AT5G12930,,,,
61,AT4G01900,AT5G47200,AT3G26230,,,,
62,AT4G00730,AT5G46250,AT1G67530,,,,
63,AT3G63255,AT5G45430,AT4G16500,,,,
64,AT3G63060,AT5G45410,AT5G45240,,,,
65,AT3G61670,AT5G45260,AT2G46400,,,,
66,AT3G60550,AT5G45080,AT1G07630,,,,
67,AT3G57540,AT5G45050,AT5G08780,,,,
68,AT3G54950,AT5G44610,AT5G08790,,,,
69,AT3G52470,AT5G44572,AT2G39400,,,,
70,AT3G48850,AT5G44480,AT2G31345,,,,
71,AT3G46590,AT5G44380,AT1G56510,,,,
72,AT3G46080,AT5G44050,AT5G66480,,,,
73,AT3G45830,AT5G43740,AT5G18310,,,,
74,AT3G28690,AT5G43100,AT2G02450,,,,
75,AT3G27540,AT5G42870,AT4G23190,,,,
76,AT3G26190,AT5G42300,AT5G47230,,,,
77,AT3G25882,AT5G42140,AT2G41730,,,,
78,AT3G21230,AT5G42000,AT5G38900,,,,
79,AT3G21140,AT5G41990,AT1G04833,,,,
80,AT3G17920,AT5G41790,AT1G80850,,,,
81,AT3G17120,AT5G41730,AT2G44180,,,,
82,AT3G15700,AT5G41170,AT5G44090,,,,
83,AT3G13950,AT5G40690,AT1G67310,,,,
84,AT3G06890,AT5G40450,AT5G25050,,,,
85,AT3G06780,AT5G39590,AT5G52760,,,,
86,AT3G05650,AT5G39360,AT4G28550,,,,
87,AT3G05350,AT5G39110,AT2G29460,,,,
88,AT3G04580,AT5G38940,AT2G26975,,,,
89,AT3G01895,AT5G38280,AT5G25910,,,,
90,AT3G01320,AT5G38200,AT4G12710,,,,
91,AT2G48080,AT5G37740,AT3G03030,,,,
92,AT2G44070,AT5G37450,AT4G36030,,,,
93,AT2G42760,AT5G37070,AT3G28210,,,,
94,AT2G41800,AT5G36930,AT2G27260,,,,
95,AT2G41342,AT5G35190,AT2G43320,,,,
96,AT2G40150,AT5G28050,AT3G04110,,,,
97,AT2G39950,AT5G27840,AT4G38545,,,,
98,AT2G39710,AT5G27600,AT3G27010,,,,
99,AT2G37910,AT5G26910,AT3G61850,,,,
100,AT2G37810,AT5G26751,AT2G37430,,,,
101,AT2G36790,AT5G24600,AT2G29510,,,,
102,AT2G35660,AT5G24520,AT4G36500,,,,
103,AT2G35650,AT5G24160,AT5G54490,,,,
104,AT2G34250,AT5G23990,AT3G01820,,,,
105,AT2G31200,AT5G22410,AT5G65600,,,,
106,AT2G30010,AT5G22380,AT5G18360,,,,
107,AT2G28650,AT5G21940,AT5G58650,,,,
108,AT2G28510,AT5G20350,AT1G71890,,,,
109,AT2G27210,AT5G19860,AT3G15530,,,,
110,AT2G26600,AT5G19450,AT2G08745,,,,
111,AT2G26280,AT5G19110,AT5G27420,,,,
112,AT2G24320,AT5G19080,AT1G32960,,,,
