,COL,LYM,COL_LYM,CERK,COL_CERK,LYM_CERK,ALL
0,AT5G67570,AT5G67200,AT1G03300,0.0,,,
1,AT5G66558,AT5G67190,AT5G66770,,,,
2,AT5G65660,AT5G67150,AT2G34520,,,,
3,AT5G65590,AT5G67070,AT4G18380,,,,
4,AT5G65210,AT5G65650,AT5G67480,,,,
5,AT5G64850,AT5G65613,AT1G02840,,,,
6,AT5G64360,AT5G65450,AT5G07900,,,,
7,AT5G61340,AT5G65410,AT3G63200,,,,
8,AT5G60890,AT5G64670,AT1G04977,,,,
9,AT5G60050,AT5G64650,AT1G12020,,,,
10,AT5G59950,AT5G64470,AT5G64340,,,,
11,AT5G57440,AT5G64150,AT3G22120,,,,
12,AT5G56140,AT5G63530,AT2G23790,,,,
13,AT5G53450,AT5G63140,AT2G45210,,,,
14,AT5G52545,AT5G62940,AT5G44190,,,,
15,AT5G52180,AT5G62700,AT2G35260,,,,
16,AT5G51670,AT5G62690,AT3G50300,,,,
17,AT5G48250,AT5G62650,AT4G34020,,,,
18,AT5G47370,AT5G62270,AT4G03140,,,,
19,AT5G46160,AT5G62190,AT1G77240,,,,
20,AT5G44130,AT5G61830,AT5G43540,,,,
21,AT5G43630,AT5G61790,AT4G02715,,,,
22,AT5G42750,AT5G61780,AT3G21755,,,,
23,AT5G42130,AT5G61770,AT5G65640,,,,
24,AT5G39990,AT5G61480,AT1G64405,,,,
25,AT5G35753,AT5G61420,AT5G61570,,,,
26,AT5G25840,AT5G61310,AT1G61740,,,,
27,AT5G25620,AT5G61020,AT2G42620,,,,
28,AT5G25240,AT5G61000,AT1G29400,,,,
29,AT5G24570,AT5G60990,AT4G24660,,,,
30,AT5G24010,AT5G60960,AT2G24050,,,,
31,AT5G23860,AT5G60790,AT4G39800,,,,
32,AT5G23680,AT5G60700,AT1G31173,,,,
33,AT5G20620,AT5G60670,AT5G55620,,,,
34,AT5G18460,AT5G60390,AT4G38840,,,,
35,AT5G18430,AT5G60030,AT2G21210,,,,
36,AT5G18255,AT5G59850,AT3G53540,,,,
37,AT5G17780,AT5G59020,AT2G36090,,,,
38,AT5G15770,AT5G58960,AT3G60630,,,,
39,AT5G15740,AT5G58580,AT3G22121,,,,
40,AT5G15410,AT5G58420,AT2G27230,,,,
41,AT5G15270,AT5G57790,AT4G37430,,,,
42,AT5G14350,AT5G57685,AT2G34710,,,,
43,AT5G13930,AT5G57290,AT2G03890,,,,
44,AT5G13780,AT5G57020,AT4G38860,,,,
45,AT5G12050,AT5G56530,AT1G58110,,,,
46,AT5G10965,AT5G56030,AT3G59400,,,,
47,AT5G08710,AT5G56000,AT1G29160,,,,
48,AT5G08570,AT5G55920,AT1G60010,,,,
49,AT5G07590,AT5G55790,AT2G47990,,,,
50,AT5G06000,AT5G55580,AT1G49205,,,,
51,AT5G04820,AT5G54640,AT4G30720,,,,
52,AT5G03670,AT5G54180,AT2G18440,,,,
53,AT5G03635,AT5G54130,AT3G12920,,,,
54,AT5G03240,AT5G53980,AT1G50040,,,,
55,AT5G02770,AT5G53900,AT1G74456,,,,
56,AT5G02480,AT5G53420,AT3G10525,,,,
57,AT4G39366,AT5G53180,AT5G01435,,,,
58,AT4G39361,AT5G52920,AT2G18940,,,,
59,AT4G36920,AT5G52470,AT4G29720,,,,
60,AT4G36810,AT5G52010,AT3G22970,,,,
61,AT4G36808,AT5G51850,AT5G22880,,,,
62,AT4G36240,AT5G51690,AT2G18890,,,,
63,AT4G35470,AT5G51540,AT4G02130,,,,
64,AT4G35320,AT5G50160,AT1G12710,,,,
65,AT4G34920,AT5G49980,AT3G13310,,,,
66,AT4G34810,AT5G49910,AT4G34750,,,,
67,AT4G34800,AT5G49660,AT2G10940,,,,
68,AT4G33470,AT5G48760,AT1G67430,,,,
69,AT4G32440,AT5G48480,AT3G54400,,,,
70,AT4G32430,AT5G47930,AT2G42320,,,,
71,AT4G31805,AT5G47640,AT5G39080,,,,
72,AT4G29240,AT5G47320,AT3G11410,,,,
73,AT4G28680,AT5G47210,AT5G05250,,,,
74,AT4G27595,AT5G46170,AT2G02070,,,,
75,AT4G27370,AT5G45800,AT1G10470,,,,
76,AT4G25990,AT5G45775,AT1G75540,,,,
77,AT4G25780,AT5G45420,AT5G37260,,,,
78,AT4G24510,AT5G44930,AT4G35720,,,,
79,AT4G24210,AT5G43960,AT1G71970,,,,
80,AT4G22790,AT5G43790,AT5G51550,,,,
81,AT4G21890,AT5G43210,AT4G37540,,,,
82,AT4G21510,AT5G42770,AT1G14920,,,,
83,AT4G19380,AT5G42480,AT5G15210,,,,
84,AT4G19003,AT5G42320,AT5G03965,,,,
85,AT4G14990,AT5G41920,AT5G65310,,,,
86,AT4G14050,AT5G41670,AT1G30080,,,,
